Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
YKL165C	MCD4	0.81	0.14	0.86	0.15	0.0795	0.0504	0.0119	0.0970	0.0210
YKL167C	MRP49	1.18	0.10	2.04	0.31	0.0007	0.0162	0.0046	0.0004	0.0003
YKL168C	KKQ8	0.75	0.33	1.04	0.18	0.2492	0.1482	0.0305	0.7610	0.1278
YKL170W	MRPL38	1.34	0.19	1.94	0.40	0.0029	0.0120	0.0036	0.0018	0.0007
YKL172W	EBP2	0.46	0.03	0.41	0.05	0.0000	0.0000	0.0000	0.0001	0.0001
YKL173W	SNU114	0.89	0.15	0.90	0.12	0.2475	0.1590	0.0324	0.1519	0.0312
YKL174C	TPO5	0.71	0.06	0.87	0.12	0.0012	0.0008	0.0004	0.0633	0.0145
YKL175W	ZRT3	2.25	0.41	3.15	0.57	0.0002	0.0008	0.0004	0.0001	0.0001
YKL178C	STE3	0.08	0.01	0.06	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YKL179C	COY1	0.90	0.25	0.54	0.12	0.0047	0.3263	0.0611	0.0044	0.0015
YKL180W	RPL17A	0.66	0.07	0.59	0.08	0.0006	0.0009	0.0004	0.0009	0.0005
YKL181W	PRS1	0.63	0.05	0.59	0.09	0.0003	0.0002	0.0001	0.0011	0.0005
YKL182W	FAS1	1.04	0.10	0.96	0.06	0.1445	0.4240	0.0768	0.2155	0.0424
YKL184W	SPE1	0.02	0.03	0.07	0.08	0.0046	0.0031	0.0012	0.0040	0.0014
YKL186C	MTR2	0.78	0.09	0.70	0.08	0.0016	0.0072	0.0023	0.0020	0.0008
YKL187C	YKL187C	0.35	0.05	13.60	3.24	0.0000	0.0001	0.0001	0.0000	0.0000
YKL189W	HYM1	1.26	0.22	1.49	0.13	0.0004	0.0419	0.0102	0.0005	0.0003
YKL190W	CNB1	1.08	0.07	1.07	0.10	0.0677	0.0607	0.0140	0.1951	0.0389
YKL191W	DPH2	0.41	0.09	0.53	0.12	0.0009	0.0008	0.0004	0.0038	0.0014
YKL192C	ACP1	1.32	0.32	2.08	0.31	0.0006	0.0760	0.0170	0.0003	0.0002
YKL193C	SDS22	1.98	0.12	2.89	0.23	0.0000	0.0000	0.0000	0.0000	0.0000
YKL194C	MST1	2.23	0.53	3.00	0.24	0.0000	0.0017	0.0007	0.0000	0.0000
YKL195W	MIA40	1.62	0.27	2.35	0.34	0.0003	0.0031	0.0012	0.0002	0.0001
YKL196C	YKT6	0.90	0.09	1.00	0.07	0.0666	0.0721	0.0163	0.9195	0.1500
YKL197C	PEX1	0.67	0.33	0.79	0.19	0.0488	0.1085	0.0232	0.0888	0.0195
YKL203C	TOR2	0.87	0.05	0.79	0.08	0.0028	0.0052	0.0018	0.0064	0.0021
YKL204W	EAP1	1.05	0.09	1.30	0.10	0.0006	0.3393	0.0633	0.0016	0.0007
YKL205W	LOS1	0.59	0.03	0.51	0.06	0.0000	0.0000	0.0000	0.0002	0.0002
YKL206C	ADD66	0.92	0.16	0.88	0.13	0.1789	0.2864	0.0544	0.1077	0.0230
YKL207W	AIM27	0.61	0.09	0.58	0.10	0.0021	0.0018	0.0008	0.0015	0.0007
YKL210W	UBA1	1.29	0.09	1.25	0.11	0.0017	0.0012	0.0005	0.0054	0.0018
YKL211C	TRP3	0.83	0.06	0.86	0.07	0.0043	0.0028	0.0011	0.0126	0.0037
YKL212W	SAC1	1.17	0.06	1.14	0.08	0.0035	0.0021	0.0009	0.0161	0.0045
YKL213C	DOA1	1.26	0.29	1.27	0.15	0.0167	0.1134	0.0241	0.0142	0.0041
YKL214C	YRA2	1.08	0.05	1.25	0.09	0.0026	0.0253	0.0066	0.0018	0.0008
YKL215C	OXP1	1.14	0.09	1.18	0.12	0.0350	0.0290	0.0074	0.0222	0.0059
YKL216W	URA1	1.71	0.05	1.89	0.13	0.0000	0.0000	0.0000	0.0000	0.0000
YKL217W	JEN1	5.23	0.74	21.28	2.93	0.0000	0.0000	0.0000	0.0000	0.0000
YKL218C	SRY1	3.89	0.73	3.30	0.63	0.0002	0.0001	0.0001	0.0001	0.0001
YKR001C	VPS1	1.24	0.11	1.23	0.07	0.0018	0.0052	0.0018	0.0015	0.0007
YKR002W	PAP1	0.98	0.03	1.15	0.11	0.0009	0.3476	0.0646	0.0299	0.0076
YKR003W	OSH6	1.11	0.14	1.12	0.11	0.0534	0.1661	0.0337	0.0661	0.0151
YKR004C	ECM9	1.00	0.14	1.51	0.22	0.0072	0.8480	0.1401	0.0042	0.0015
YKR006C	MRPL13	1.02	0.07	1.60	0.08	0.0000	0.5358	0.0944	0.0000	0.0000
YKR007W	MEH1	1.01	0.06	1.35	0.17	0.0064	0.7462	0.1256	0.0081	0.0025
YKR008W	RSC4	0.74	0.03	0.76	0.05	0.0001	0.0001	0.0001	0.0006	0.0003
YKR009C	FOX2	1.24	0.09	10.20	0.67	0.0000	0.0024	0.0010	0.0000	0.0000
YKR014C	YPT52	1.31	0.09	1.67	0.15	0.0004	0.0008	0.0004	0.0003	0.0002
YKR016W	FCJ1	1.61	0.11	3.46	0.24	0.0000	0.0001	0.0001	0.0000	0.0000
YKR018C	YKR018C	1.33	0.04	1.60	0.13	0.0000	0.0000	0.0000	0.0002	0.0002
YKR023W	YKR023W	0.76	0.08	0.78	0.12	0.0029	0.0039	0.0014	0.0211	0.0057
YKR024C	DBP7	0.34	0.05	0.37	0.02	0.0000	0.0000	0.0001	0.0000	0.0000
YKR025W	RPC37	0.40	0.03	0.46	0.04	0.0000	0.0000	0.0000	0.0000	0.0001
YKR026C	GCN3	0.79	0.12	0.86	0.08	0.0103	0.0205	0.0055	0.0136	0.0039
YKR027W	BCH2	0.89	0.05	1.09	0.07	0.0000	0.0072	0.0023	0.0378	0.0093
YKR028W	SAP190	1.03	0.24	1.06	0.13	0.3972	0.9239	0.1506	0.3726	0.0686
YKR029C	SET3	1.54	0.17	1.61	0.15	0.0007	0.0010	0.0005	0.0004	0.0002
YKR030W	GMH1	0.94	0.21	1.11	0.13	0.0196	0.4743	0.0848	0.1272	0.0266
YKR031C	SPO14	0.65	0.14	0.91	0.19	0.0160	0.0117	0.0035	0.3104	0.0585
YKR035W-A	DID2	1.66	1.29	2.05	1.50	0.0714	0.5458	0.0959	0.2125	0.0419
YKR037C	SPC34	1.08	0.45	1.61	1.13	0.6463	0.9370	0.1524	0.4872	0.0868
YKR038C	KAE1	0.80	0.03	0.90	0.05	0.0003	0.0002	0.0001	0.0162	0.0046
YKR039W	GAP1	2.86	1.69	11.43	6.40	0.0000	0.0246	0.0064	0.0006	0.0003
YKR043C	SHB17	0.72	0.06	0.63	0.04	0.0001	0.0009	0.0004	0.0001	0.0001
YKR044W	UIP5	0.63	0.31	1.30	0.97	0.0088	0.0456	0.0109	0.7180	0.1216
YKR046C	PET10	1.79	0.68	3.39	1.16	0.0039	0.0710	0.0161	0.0035	0.0013
YKR048C	NAP1	0.99	0.08	1.06	0.13	0.2812	0.8126	0.1351	0.3461	0.0643
YKR049C	FMP46	1.81	0.21	3.68	0.26	0.0000	0.0004	0.0002	0.0000	0.0000
YKR054C	DYN1	0.70	0.07	0.89	0.17	0.0018	0.0015	0.0007	0.1766	0.0355
YKR055W	RHO4	0.94	0.05	1.22	0.10	0.0053	0.0397	0.0097	0.0060	0.0020
YKR056W	TRM2	0.38	0.39	0.62	0.25	0.0376	0.0220	0.0059	0.0487	0.0116
YKR057W	RPS21A	0.76	0.11	0.67	0.05	0.0001	0.0115	0.0034	0.0002	0.0002
YKR060W	UTP30	0.41	0.03	0.31	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YKR062W	TFA2	0.72	0.08	0.73	0.11	0.0038	0.0026	0.0010	0.0107	0.0032
YKR065C	PAM17	1.35	0.27	1.81	0.19	0.0004	0.0252	0.0066	0.0003	0.0002
YKR066C	CCP1	2.12	0.13	3.72	0.32	0.0000	0.0000	0.0000	0.0000	0.0000
YKR067W	GPT2	2.50	0.16	4.15	0.27	0.0000	0.0000	0.0000	0.0000	0.0000
YKR068C	BET3	0.97	0.07	1.01	0.16	0.2551	0.4349	0.0785	0.9877	0.1592
YKR070W	YKR070W	1.19	0.07	1.20	0.11	0.0019	0.0023	0.0009	0.0124	0.0037
YKR071C	DRE2	0.21	0.02	0.15	0.01	0.0000	0.0000	0.0000	0.0000	0.0000
YKR072C	SIS2	0.71	0.05	0.79	0.11	0.0000	0.0005	0.0003	0.0160	0.0045
YKR074W	AIM29	1.14	0.15	1.30	0.12	0.0033	0.1259	0.0264	0.0036	0.0013
YKR076W	ECM4	2.12	0.31	6.56	0.83	0.0000	0.0005	0.0003	0.0000	0.0000
YKR079C	TRZ1	0.57	0.25	0.79	0.25	0.0364	0.0229	0.0061	0.1214	0.0256
YKR080W	MTD1	3.06	0.21	2.63	0.18	0.0000	0.0000	0.0000	0.0000	0.0000
YKR081C	RPF2	0.47	0.05	0.57	0.05	0.0001	0.0001	0.0001	0.0001	0.0001
YKR082W	NUP133	0.85	0.04	0.88	0.07	0.0026	0.0016	0.0007	0.0182	0.0050
YKR083C	DAD2	0.96	0.15	1.17	0.18	0.0078	0.4983	0.0885	0.0937	0.0204
YKR084C	HBS1	1.01	0.11	1.02	0.11	0.9627	0.8849	0.1453	0.8180	0.1359
YKR085C	MRPL20	0.93	0.08	1.94	0.22	0.0001	0.1369	0.0285	0.0002	0.0002
YKR087C	OMA1	1.03	0.16	2.12	0.62	0.0026	0.8268	0.1371	0.0049	0.0017
YKR088C	TVP38	0.75	0.07	0.77	0.07	0.0023	0.0021	0.0009	0.0029	0.0011
YKR089C	TGL4	1.25	0.14	1.35	0.12	0.0002	0.0137	0.0040	0.0016	0.0007
YKR090W	PXL1	0.85	0.06	0.90	0.06	0.0039	0.0065	0.0021	0.0171	0.0048
YKR092C	SRP40	0.15	0.01	0.09	0.01	0.0000	0.0000	0.0000	0.0000	0.0000
YKR093W	PTR2	0.69	0.08	0.27	0.02	0.0000	0.0021	0.0008	0.0000	0.0000
YKR095W	MLP1	0.88	0.04	0.81	0.07	0.0046	0.0029	0.0011	0.0047	0.0016
YKR095W-A	PCC1	0.78	0.16	0.99	0.15	0.0533	0.0338	0.0085	0.7465	0.1256
YKR096W	YKR096W	1.89	0.35	2.64	0.39	0.0000	0.0015	0.0007	0.0001	0.0001
YKR097W	PCK1	3.32	0.36	59.27	8.37	0.0000	0.0000	0.0000	0.0000	0.0000
YLL001W	DNM1	1.16	0.12	1.87	0.23	0.0000	0.0390	0.0096	0.0004	0.0002
YLL006W	MMM1	0.87	0.32	1.32	0.34	0.0735	0.3888	0.0712	0.1140	0.0242
YLL008W	DRS1	0.49	0.03	0.48	0.05	0.0000	0.0000	0.0000	0.0001	0.0001
YLL010C	PSR1	0.54	0.08	0.56	0.06	0.0004	0.0007	0.0004	0.0002	0.0002
YLL011W	SOF1	0.51	0.02	0.52	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YLL013C	PUF3	1.45	0.06	2.13	0.32	0.0000	0.0000	0.0000	0.0004	0.0002
YLL014W	EMC6	0.36	0.06	0.40	0.10	0.0001	0.0001	0.0001	0.0010	0.0005
YLL015W	BPT1	0.45	0.07	0.46	0.08	0.0000	0.0003	0.0002	0.0005	0.0003
YLL018C	DPS1	1.11	0.07	1.21	0.11	0.0168	0.0240	0.0063	0.0104	0.0032
YLL018C-A	COX19	2.83	1.13	4.89	1.23	0.0004	0.0032	0.0012	0.0003	0.0002
YLL019C	KNS1	1.27	0.20	1.86	0.42	0.0081	0.0322	0.0082	0.0049	0.0017
YLL021W	SPA2	0.75	0.03	0.76	0.07	0.0001	0.0001	0.0001	0.0021	0.0009
YLL022C	HIF1	1.06	0.51	0.66	0.38	0.1403	0.8232	0.1366	0.0886	0.0194
YLL023C	POM33	1.92	0.23	2.64	0.37	0.0001	0.0003	0.0002	0.0001	0.0001
YLL024C	SSA2	0.72	0.02	0.54	0.04	0.0000	0.0000	0.0000	0.0000	0.0000
YLL026W	HSP104	3.55	0.27	3.38	0.35	0.0000	0.0000	0.0000	0.0000	0.0000
YLL028W	TPO1	1.51	0.11	1.22	0.14	0.0002	0.0002	0.0002	0.0222	0.0059
YLL029W	FRA1	1.19	0.15	1.65	0.07	0.0000	0.0470	0.0112	0.0000	0.0000
YLL031C	GPI13	0.79	0.17	0.77	0.18	0.0554	0.0540	0.0126	0.0489	0.0116
YLL032C	YLL032C	0.82	0.18	1.12	0.10	0.0058	0.0989	0.0214	0.0522	0.0123
YLL034C	RIX7	0.49	0.02	0.44	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YLL035W	GRC3	0.45	0.09	0.51	0.11	0.0010	0.0006	0.0003	0.0026	0.0010
YLL036C	PRP19	0.80	0.07	0.66	0.09	0.0035	0.0041	0.0014	0.0021	0.0008
YLL038C	ENT4	0.83	0.08	1.17	0.11	0.0004	0.0113	0.0034	0.0268	0.0069
YLL040C	VPS13	1.35	0.03	1.25	0.09	0.0000	0.0000	0.0000	0.0028	0.0011
YLL041C	SDH2	2.60	0.26	15.00	0.25	0.0000	0.0000	0.0000	0.0000	0.0000
YLL043W	FPS1	0.63	0.05	0.50	0.09	0.0003	0.0002	0.0001	0.0011	0.0005
YLL045C	RPL8B	0.65	0.09	0.55	0.09	0.0020	0.0026	0.0010	0.0012	0.0005
YLL048C	YBT1	0.80	0.08	0.75	0.04	0.0002	0.0087	0.0027	0.0002	0.0001
YLL050C	COF1	1.31	0.09	1.40	0.10	0.0006	0.0011	0.0005	0.0004	0.0003
YLL061W	MMP1	0.12	0.04	0.36	0.06	0.0002	0.0001	0.0001	0.0002	0.0002
YLL062C	MHT1	0.60	0.08	0.67	0.12	0.0014	0.0008	0.0004	0.0064	0.0021
YLR002C	NOC3	0.72	0.03	0.71	0.09	0.0001	0.0001	0.0001	0.0034	0.0012
YLR003C	CMS1	0.41	0.04	0.44	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YLR004C	THI73	2.84	0.81	2.21	0.44	0.0017	0.0011	0.0005	0.0013	0.0006
YLR005W	SSL1	0.51	0.11	0.51	0.12	0.0014	0.0033	0.0012	0.0027	0.0010
YLR007W	NSE1	0.16	0.06	0.31	0.07	0.0002	0.0002	0.0002	0.0001	0.0001
YLR008C	PAM18	0.81	0.06	0.91	0.09	0.0030	0.0021	0.0008	0.0915	0.0200
YLR009W	RLP24	0.22	0.03	0.22	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YLR011W	LOT6	1.05	0.14	1.55	0.11	0.0001	0.4918	0.0875	0.0002	0.0001
YLR015W	BRE2	0.32	0.14	0.31	0.15	0.0013	0.0026	0.0010	0.0098	0.0030
YLR016C	PML1	0.67	0.10	0.92	0.10	0.0058	0.0054	0.0018	0.1501	0.0308
YLR017W	MEU1	0.30	0.03	0.34	0.06	0.0000	0.0000	0.0000	0.0003	0.0002
YLR018C	POM34	0.56	0.13	0.58	0.09	0.0009	0.0066	0.0022	0.0016	0.0007
YLR020C	YEH2	0.69	0.07	0.55	0.03	0.0000	0.0013	0.0006	0.0000	0.0000
YLR021W	IRC25	0.71	0.15	0.87	0.15	0.0325	0.0197	0.0054	0.1062	0.0227
YLR022C	SDO1	0.58	0.03	0.50	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YLR025W	SNF7	1.33	0.35	1.57	0.23	0.0013	0.0953	0.0207	0.0019	0.0008
YLR026C	SED5	1.01	0.14	1.01	0.10	0.9943	0.9283	0.1512	0.9391	0.1527
YLR027C	AAT2	0.99	0.06	1.08	0.06	0.0079	0.6535	0.1121	0.0436	0.0105
YLR028C	ADE16	1.19	0.08	1.33	0.08	0.0005	0.0047	0.0016	0.0004	0.0002
YLR029C	RPL15A	0.71	0.11	0.58	0.05	0.0003	0.0058	0.0019	0.0002	0.0001
YLR032W	RAD5	1.63	0.70	1.02	0.21	0.0068	0.0840	0.0186	0.9946	0.1602
YLR033W	RSC58	0.89	0.11	0.91	0.12	0.0568	0.0735	0.0165	0.1655	0.0336
YLR034C	SMF3	0.56	0.05	0.63	0.09	0.0002	0.0001	0.0001	0.0018	0.0007
YLR035C	MLH2	1.64	1.48	1.46	2.00	0.1520	0.5701	0.0995	0.7619	0.1279
YLR035C-A	YLR035C-A	0.23	0.07	0.06	0.02	0.0000	0.0004	0.0002	0.0000	0.0001
YLR038C	COX12	2.86	0.64	8.52	1.07	0.0000	0.0006	0.0003	0.0000	0.0000
YLR039C	RIC1	0.70	0.10	0.80	0.18	0.0083	0.0049	0.0017	0.0554	0.0129
YLR043C	TRX1	1.20	0.13	1.18	0.09	0.0110	0.0216	0.0058	0.0116	0.0035
YLR044C	PDC1	0.98	0.03	0.79	0.03	0.0002	0.2096	0.0414	0.0002	0.0001
YLR045C	STU2	0.75	0.06	1.04	0.11	0.0004	0.0014	0.0006	0.4991	0.0887
YLR047C	FRE8	1.18	0.33	2.00	0.79	0.0141	0.2612	0.0503	0.0174	0.0048
YLR050C	YLR050C	2.05	1.41	2.92	2.32	0.0450	0.0787	0.0176	0.0354	0.0088
YLR051C	FCF2	0.45	0.07	0.37	0.06	0.0002	0.0004	0.0002	0.0001	0.0001
YLR052W	IES3	0.91	0.10	1.11	0.08	0.0216	0.1380	0.0287	0.0404	0.0099
YLR055C	SPT8	0.70	0.17	0.80	0.03	0.0001	0.0239	0.0063	0.0001	0.0001
YLR056W	ERG3	0.22	0.02	0.22	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YLR057W	YLR057W	0.53	0.12	0.68	0.20	0.0027	0.0033	0.0012	0.0430	0.0104
YLR058C	SHM2	2.81	0.25	2.35	0.13	0.0000	0.0000	0.0000	0.0000	0.0000
YLR059C	REX2	1.12	0.26	1.46	0.26	0.0022	0.3608	0.0667	0.0086	0.0027
YLR060W	FRS1	0.91	0.04	0.80	0.07	0.0070	0.0111	0.0033	0.0042	0.0015
YLR061W	RPL22A	0.71	0.05	0.59	0.06	0.0005	0.0006	0.0003	0.0003	0.0002
YLR064W	PER33	1.06	0.32	1.40	1.04	0.7357	0.8843	0.1452	0.6028	0.1045
YLR065C	YLR065C	0.79	0.06	0.65	0.12	0.0038	0.0022	0.0009	0.0085	0.0026
YLR066W	SPC3	1.05	0.20	1.03	0.17	0.8279	0.7043	0.1197	0.8797	0.1445
YLR068W	FYV7	0.35	0.11	0.32	0.06	0.0004	0.0016	0.0007	0.0002	0.0002
YLR069C	MEF1	2.02	0.07	3.20	0.13	0.0000	0.0000	0.0000	0.0000	0.0000
YLR071C	RGR1	0.65	0.06	0.67	0.09	0.0000	0.0004	0.0003	0.0027	0.0010
YLR072W	YLR072W	0.92	0.12	1.12	0.12	0.0048	0.2025	0.0401	0.1050	0.0225
YLR074C	BUD20	0.14	0.01	0.13	0.01	0.0000	0.0000	0.0000	0.0000	0.0000
YLR075W	RPL10	0.66	0.08	0.57	0.05	0.0001	0.0012	0.0006	0.0001	0.0001
YLR077W	FMP25	1.12	0.09	1.32	0.21	0.0200	0.0318	0.0081	0.0195	0.0053
YLR078C	BOS1	0.66	0.04	0.85	0.05	0.0001	0.0001	0.0001	0.0036	0.0013
YLR080W	EMP46	3.29	0.54	4.51	0.75	0.0001	0.0001	0.0001	0.0000	0.0000
YLR082C	SRL2	1.25	0.27	1.99	0.31	0.0004	0.0985	0.0213	0.0006	0.0003
YLR083C	EMP70	0.76	0.10	0.73	0.08	0.0006	0.0089	0.0028	0.0026	0.0010
YLR084C	RAX2	0.55	0.07	0.60	0.18	0.0007	0.0004	0.0002	0.0115	0.0034
YLR086W	SMC4	0.71	0.05	0.81	0.03	0.0001	0.0004	0.0003	0.0004	0.0002
YLR088W	GAA1	0.84	0.07	0.79	0.14	0.0121	0.0073	0.0023	0.0392	0.0096
YLR089C	ALT1	1.68	0.19	1.59	0.14	0.0006	0.0007	0.0004	0.0003	0.0002
YLR090W	XDJ1	0.76	0.13	0.95	0.11	0.0377	0.0232	0.0062	0.3421	0.0637
YLR093C	NYV1	1.23	0.11	1.93	0.15	0.0001	0.0056	0.0019	0.0000	0.0001
YLR095C	IOC2	0.79	0.06	0.88	0.06	0.0020	0.0018	0.0007	0.0107	0.0032
YLR096W	KIN2	0.69	0.04	0.78	0.09	0.0001	0.0002	0.0002	0.0061	0.0020
YLR099C	ICT1	0.00	0.00	0.03	0.030		0.218	0.0058	0.0034	0.0013
YLR100W	ERG27	0.84	0.06	0.55	0.05	0.0001	0.0063	0.0021	0.0001	0.0001
YLR104W	LCL2	0.89	0.14	0.82	0.04	0.0016	0.1437	0.0297	0.0010	0.0005
YLR106C	MDN1	0.55	0.04	0.50	0.03	0.0000	0.0000	0.0001	0.0000	0.0000
YLR109W	AHP1	0.82	0.02	0.66	0.05	0.0001	0.0001	0.0001	0.0002	0.0001
YLR113W	HOG1	0.99	0.08	1.12	0.03	0.0005	0.8174	0.1358	0.0004	0.0002
YLR114C	AVL9	0.90	0.04	0.96	0.16	0.0016	0.0060	0.0020	0.5317	0.0937
YLR115W	CFT2	0.75	0.05	0.82	0.09	0.0002	0.0005	0.0003	0.0143	0.0041
YLR116W	MSL5	0.61	0.15	0.79	0.24	0.0167	0.0128	0.0038	0.1245	0.0262
YLR117C	CLF1	0.66	0.07	0.76	0.16	0.0012	0.0007	0.0004	0.0389	0.0096
YLR118C	YLR118C	1.29	0.09	1.34	0.10	0.0005	0.0012	0.0005	0.0008	0.0004
YLR119W	SRN2	0.97	0.06	1.10	0.10	0.0068	0.3523	0.0653	0.0963	0.0209
YLR120C	YPS1	3.08	0.72	2.33	0.44	0.0008	0.0005	0.0003	0.0008	0.0004
YLR126C	YLR126C	0.61	0.09	0.62	0.08	0.0012	0.0024	0.0009	0.0009	0.0005
YLR129W	DIP2	0.58	0.08	0.50	0.03	0.0000	0.0009	0.0004	0.0000	0.0000
YLR131C	ACE2	0.72	0.15	1.33	0.09	0.0001	0.0348	0.0087	0.0007	0.0004
YLR133W	CKI1	1.47	0.14	1.91	0.17	0.0001	0.0008	0.0004	0.0001	0.0001
YLR134W	PDC5	15.16	1.59	11.85	1.29	0.0000	0.0000	0.0000	0.0000	0.0000
YLR138W	NHA1	0.63	0.12	0.62	0.10	0.0021	0.0058	0.0019	0.0019	0.0008
YLR139C	SLS1	2.09	1.02	3.09	0.92	0.0038	0.0232	0.0061	0.0022	0.0009
YLR144C	ACF2	1.12	0.08	1.15	0.08	0.0154	0.0253	0.0066	0.0098	0.0030
YLR146C	SPE4	0.71	0.02	0.72	0.04	0.0000	0.0000	0.0000	0.0003	0.0002
YLR147C	SMD3	0.86	0.12	0.88	0.05	0.0036	0.0854	0.0188	0.0062	0.0021
YLR148W	PEP3	0.91	0.08	1.01	0.07	0.0224	0.0686	0.0156	0.7415	0.1249
YLR150W	STM1	0.82	0.06	0.65	0.05	0.0004	0.0038	0.0014	0.0003	0.0002
YLR151C	PCD1	2.56	2.37	5.95	2.82	0.0001	0.1173	0.0248	0.0007	0.0004
YLR153C	ACS2	1.09	0.14	1.10	0.09	0.0654	0.2093	0.0413	0.0514	0.0121
YLR163C	MAS1	0.99	0.07	1.11	0.09	0.0708	0.6743	0.1151	0.0413	0.0100
YLR166C	SEC10	0.92	0.12	1.00	0.09	0.2552	0.1539	0.0315	0.8904	0.1459
YLR167W	RPS31	0.69	0.09	0.55	0.04	0.0000	0.0024	0.0009	0.0000	0.0000
YLR170C	APS1	1.07	0.15	1.12	0.20	0.5076	0.4217	0.0765	0.3322	0.0621
YLR172C	DPH5	0.76	0.07	0.81	0.06	0.0046	0.0031	0.0012	0.0028	0.0011
YLR173W	YLR173W	0.99	0.09	1.74	0.21	0.0008	0.8204	0.1362	0.0005	0.0003
YLR174W	IDP2	1.33	0.19	15.38	2.51	0.0000	0.0118	0.0035	0.0000	0.0000
YLR175W	CBF5	0.54	0.05	0.46	0.04	0.0000	0.0001	0.0001	0.0000	0.0001
YLR177W	YLR177W	3.76	0.63	3.39	0.53	0.0001	0.0001	0.0001	0.0001	0.0001
YLR178C	TFS1	4.61	0.11	6.05	0.24	0.0000	0.0000	0.0000	0.0000	0.0000
YLR179C	YLR179C	0.93	0.08	0.83	0.05	0.0022	0.1413	0.0292	0.0029	0.0011
YLR180W	SAM1	0.72	0.05	0.56	0.06	0.0003	0.0006	0.0003	0.0002	0.0001
YLR181C	VTA1	0.95	0.10	1.10	0.10	0.0017	0.2894	0.0549	0.0887	0.0195
YLR182W	SWI6	0.75	0.03	0.93	0.02	0.0001	0.0001	0.0001	0.0029	0.0011
YLR185W	RPL37A	0.55	0.20	0.40	0.06	0.0002	0.0118	0.0035	0.0001	0.0001
YLR186W	EMG1	0.64	0.04	0.59	0.04	0.0000	0.0001	0.0001	0.0001	0.0001
YLR187W	SKG3	0.77	0.05	0.92	0.10	0.0004	0.0007	0.0004	0.1548	0.0317
YLR188W	MDL1	0.84	0.11	0.78	0.13	0.0186	0.0333	0.0084	0.0222	0.0059
YLR190W	MMR1	0.57	0.19	1.40	0.25	0.0167	0.0175	0.0048	0.0146	0.0042
YLR192C	HCR1	0.81	0.07	0.96	0.06	0.0075	0.0055	0.0019	0.1962	0.0390
YLR195C	NMT1	1.02	0.05	1.03	0.04	0.3021	0.5467	0.0960	0.1888	0.0378
YLR196W	PWP1	0.50	0.04	0.49	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YLR197W	NOP56	0.57	0.03	0.48	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YLR199C	PBA1	0.75	0.06	0.83	0.06	0.0013	0.0010	0.0005	0.0063	0.0021
YLR200W	YKE2	0.80	0.07	0.94	0.05	0.0044	0.0050	0.0017	0.0449	0.0108
YLR201C	COQ9	1.96	0.36	1.42	0.08	0.0001	0.0009	0.0004	0.0002	0.0001
YLR203C	MSS51	1.57	0.11	2.01	0.26	0.0002	0.0002	0.0001	0.0003	0.0002
YLR206W	ENT2	1.39	0.14	1.58	0.09	0.0001	0.0022	0.0009	0.0000	0.0001
YLR207W	HRD3	0.84	0.05	0.94	0.05	0.0042	0.0025	0.0010	0.0803	0.0178
YLR208W	SEC13	1.01	0.09	1.02	0.08	0.7338	0.9173	0.1497	0.5471	0.0960
YLR209C	PNP1	1.09	0.08	1.51	0.11	0.0002	0.0700	0.0159	0.0003	0.0002
YLR212C	TUB4	0.89	0.04	1.39	0.07	0.0000	0.0038	0.0014	0.0001	0.0001
YLR214W	FRE1	0.19	0.02	0.14	0.01	0.0000	0.0000	0.0000	0.0000	0.0000
YLR215C	CDC123	0.73	0.23	0.53	0.15	0.0102	0.0752	0.0169	0.0089	0.0028
YLR216C	CPR6	1.06	0.03	1.03	0.11	0.0023	0.0135	0.0039	0.6598	0.1131
YLR218C	COA4	2.64	0.14	3.89	0.58	0.0000	0.0000	0.0000	0.0000	0.0000
YLR219W	MSC3	1.08	0.08	1.91	0.14	0.0001	0.0767	0.0171	0.0000	0.0000
YLR220W	CCC1	1.00	0.07	1.55	0.11	0.0003	0.9728	0.1572	0.0002	0.0001
YLR221C	RSA3	0.62	0.08	0.56	0.07	0.0003	0.0009	0.0005	0.0005	0.0003
YLR222C	UTP13	0.48	0.04	0.43	0.03	0.0000	0.0000	0.0000	0.0000	0.0000
YLR225C	YLR225C	1.19	0.09	1.34	0.11	0.0020	0.0095	0.0029	0.0014	0.0006
YLR226W	BUR2	0.73	0.13	0.76	0.04	0.0004	0.0166	0.0046	0.0002	0.0002
YLR228C	ECM22	0.60	0.31	0.52	0.31	0.0261	0.0545	0.0127	0.0642	0.0147
YLR229C	CDC42	0.88	0.13	1.06	0.11	0.0872	0.0994	0.0215	0.2828	0.0538
YLR231C	BNA5	1.78	0.09	1.97	0.04	0.0000	0.0000	0.0000	0.0000	0.0000
